StartTime,Duration,Recording_tag,Focal,WhaleID,WhaleType,Source_subgroup,EndTime,Latency,DurationPrev,CallType,Age,bout,BoutStartTime,BoutEndTime,BoutLatency,Type,Group,ID
14034.58,0.12,gm12_224d,0,nf,Juvenile,2,14034.7,2.3700000000008004,0.08,ResponseCall,1,14,7.190000000000509,7.31000000000131,2.3700000000008004,Real,G2,d2_nf
14100.8,0.08,gm12_224b,0,nf,Juvenile,2,14100.88,66.09999999999854,0.12,ResponseCall,1,14,73.40999999999985,73.48999999999978,66.09999999999854,Real,G2,d2_nf
14109.93,0.4,gm12_224d,0,nf,Juvenile,2,14110.33,9.050000000001091,0.08,ResponseCall,1,14,82.54000000000087,82.94000000000051,9.050000000001091,Real,G2,d2_nf
14111.7,0.89,gm12_224c,0,nf,Juvenile,2,14112.59,1.3700000000008004,0.4,ResponseCall,1,14,84.31000000000131,85.20000000000073,1.3700000000008004,Real,G2,d2_nf
14113.63,0.68,gm12_224c,0,nf,Juvenile,2,14114.31,1.0399999999990541,0.89,ResponseCall,1,14,86.23999999999978,86.92000000000007,1.0399999999990541,Real,G2,d2_nf
14116.37,0.93,gm12_224c,0,nf,Juvenile,2,14117.300000000001,2.0600000000013097,0.68,ResponseCall,1,14,88.98000000000138,89.91000000000167,2.0600000000013097,Real,G2,d2_nf
14117.95,0.96,gm12_224c,0,nf,Juvenile,2,14118.91,0.6499999999996362,0.93,ResponseCall,1,14,90.56000000000131,91.52000000000044,0.6499999999996362,Real,G2,d2_nf
14120.4,0.77,gm12_224c,0,nf,Juvenile,2,14121.17,1.4899999999997817,0.96,ResponseCall,1,14,93.01000000000022,93.78000000000065,1.4899999999997817,Real,G2,d2_nf
14121.94,1.24,gm12_224c,0,nf,Juvenile,2,14123.18,0.7700000000004366,0.77,ResponseCall,1,14,94.55000000000109,95.79000000000087,0.7700000000004366,Real,G2,d2_nf
14129.21,1.59,gm12_224a,0,nf,Juvenile,2,14130.8,6.029999999998836,1.24,ResponseCall,1,14,101.81999999999971,103.40999999999985,6.029999999998836,Real,G2,d2_nf
14130.83,1.59,gm12_224c,0,nf,Juvenile,2,14132.42,0.030000000000654836,1.59,ResponseCall,1,14,103.44000000000051,105.03000000000065,0.030000000000654836,Real,G2,d2_nf
14134.22,0.87,gm12_224b,0,nf,Juvenile,2,14135.09,1.7999999999992724,1.59,ResponseCall,1,14,106.82999999999993,107.70000000000073,1.7999999999992724,Real,G2,d2_nf
14141,1.62,gm12_224a,0,nf,Juvenile,2,14142.62,5.9099999999998545,0.87,ResponseCall,1,14,113.61000000000058,115.23000000000138,5.9099999999998545,Real,G2,d2_nf
14142.82,0.97,gm12_224a,0,nf,Juvenile,2,14143.789999999999,0.1999999999989086,1.62,ResponseCall,1,14,115.43000000000029,116.39999999999964,0.1999999999989086,Real,G2,d2_nf
14143.7,0.82,gm12_224a,0,nf,Juvenile,2,14144.52,-0.08999999999832653,0.97,ResponseCall,1,14,116.31000000000131,117.13000000000102,-0.08999999999832653,Real,G2,d2_nf
14144.64,1.16,gm12_224a,0,nf,Juvenile,2,14145.8,0.11999999999898137,0.82,ResponseCall,1,14,117.25,118.40999999999985,0.11999999999898137,Real,G2,d2_nf
14145.47,0.18,gm12_224a,0,nf,Juvenile,2,14145.65,-0.32999999999992724,1.16,ResponseCall,1,14,118.07999999999993,118.26000000000022,-0.32999999999992724,Real,G2,d2_nf
14167.21,0.56,gm12_224d,0,nf,Juvenile,2,14167.769999999999,21.55999999999949,0.18,ResponseCall,1,14,139.8199999999997,140.3799999999992,21.55999999999949,Real,G2,d2_nf
14168.61,0.1,gm12_224a,0,nf,Juvenile,2,14168.710000000001,0.8400000000019645,0.56,ResponseCall,1,14,141.22000000000116,141.32000000000153,0.8400000000019645,Real,G2,d2_nf
14173.54,0.09,gm12_224a,0,nf,Juvenile,2,14173.630000000001,4.829999999999927,0.1,ResponseCall,1,14,146.15000000000146,146.2400000000016,4.829999999999927,Real,G2,d2_nf
14177.03,0.09,gm12_224a,0,nf,Juvenile,2,14177.12,3.399999999999636,0.09,ResponseCall,1,14,149.64000000000124,149.73000000000138,3.399999999999636,Real,G2,d2_nf
14180.79,0.1,gm12_224a,0,nf,Juvenile,2,14180.890000000001,3.6700000000000728,0.09,ResponseCall,1,14,153.40000000000146,153.50000000000182,3.6700000000000728,Real,G2,d2_nf
14186.45,0.06,gm12_224a,0,nf,Juvenile,2,14186.51,5.559999999999491,0.1,ResponseCall,1,14,159.0600000000013,159.1200000000008,5.559999999999491,Real,G2,d2_nf
14210.83,0.07,gm12_224b,0,nf,Juvenile,2,14210.9,24.31999999999971,0.06,ResponseCall,1,14,183.4400000000005,183.51000000000022,24.31999999999971,Real,G2,d2_nf
14215.53,0.07,gm12_224b,0,nf,Juvenile,2,14215.6,4.630000000001019,0.07,ResponseCall,1,14,188.14000000000124,188.21000000000095,4.630000000001019,Real,G2,d2_nf
14224.22,0.62,gm12_224d,1,D,Male,2,14224.84,8.619999999998981,0.07,ResponseCall,3,14,196.82999999999993,197.45000000000073,8.619999999998981,Real,G2,d2_D
14229.97,0.78,gm12_224a,1,A,Male,1,14230.75,5.1299999999992,0.62,ResponseCall,3,14,202.57999999999993,203.36000000000058,5.1299999999992,Real,G2,d2_A
